Unit,Lesson,Q#,Question Text,Opt A Front,Opt B Front,Opt C Front,Opt D Front,Correct,Flip Side (Correct),Flip Side (Wrongs)
1,1,1,"Which position signals ""A""?","LH: vertical down, RH: diagonal down forward","LH: horizontal out, RH: vertical down","LH: vertical up, RH: horizontal out","LH: diagonal up across body, RH: vertical up",A,"A: LH down, RH low. Basic start; 1790s naval.","B=F, C=P, D=I - Diagonal vs horizontal."
1,1,2,"Which position signals ""B""?","LH: vertical down, RH: horizontal out","LH: vertical down, RH: vertical up","LH: diagonal down across body, RH: diagonal up forward","LH: horizontal out, RH: diagonal up forward",A,"B: LH down, RH out. Ship-to-ship essential.","B=D variant, C=H, D=J - Out vs up."
1,1,3,"Which position signals ""C""?","LH: vertical down, RH: diagonal up forward","LH: diagonal up forward, RH: vertical down","LH: horizontal out, RH: diagonal down across body","LH: vertical up, RH: diagonal down forward",A,"C: LH down, RH high. Pre-radio aviation.","B=E, C=Z, D=K - High diagonal key."
1,1,4,"Which position signals ""D""?","LH: vertical down, RH: vertical up","LH: diagonal up across body, RH: horizontal out","LH: vertical up, RH: vertical down","LH: horizontal out, RH: diagonal down forward",A,"D: LH down, RH up. 1850s Admiralty cross.","B=O, C=G variant, D=M - Symmetric up/down."
1,1,5,"Which position signals ""E""?","LH: diagonal up forward, RH: vertical down","LH: horizontal out, RH: diagonal up across body","LH: diagonal down across body, RH: vertical up","LH: vertical up, RH: diagonal up forward",A,"E: LH high, RH down. Scout vowel X-shape.","B=W, C=I, D=U - Balanced diagonals."
1,2,1,"Which position signals ""F""?","LH: horizontal out, RH: vertical down","LH: vertical down, RH: diagonal down forward","LH: diagonal up across body, RH: diagonal down forward","LH: vertical up, RH: horizontal out",A,"F: LH out, RH down. Early quick signal.","B=A, C=N, D=P - Horizontal left."
1,2,2,"Which position signals ""G""?","LH: diagonal down forward, RH: vertical down","LH: horizontal out, RH: vertical up","LH: vertical down, RH: diagonal up forward","LH: diagonal up across body, RH: horizontal out",A,"G: LH low, RH down. Grounded numeral 7.","B=J, C=C, D=O - Both low."
1,2,3,"Which position signals ""H""?","LH: diagonal down across body, RH: horizontal out","LH: vertical up, RH: diagonal down forward","LH: horizontal out, RH: diagonal down forward","LH: diagonal up forward, RH: vertical down",A,"H: LH across low, RH out. Frequent shape.","B=K, C=M, D=E - Across low left."
1,2,4,"Which position signals ""I""?","LH: diagonal down across body, RH: vertical up","LH: horizontal out, RH: diagonal up forward","LH: vertical down, RH: horizontal out","LH: diagonal up across body, RH: diagonal down forward",A,"I: LH across low, RH up. Numeral 9 variant.","B=J, C=B, D=N - Elevated right."
1,2,5,"Which position signals ""J""?","LH: horizontal out, RH: vertical up","LH: diagonal up forward, RH: horizontal out","LH: vertical up, RH: diagonal down across body","LH: diagonal down forward, RH: diagonal up forward",A,"J: LH out, RH up. Numeral flag start.","B=Q, C=X, D=V - Out-up combo."
